"","GSM3317067","GSM3317068","GSM3317069","GSM3317070","GSM3317071","GSM3317072"
"ENSMUSG00000001985",0,0,0,0,0,0
"ENSMUSG00000001986",13,0,6,1,1,0
"ENSMUSG00000001988",0,0,0,0,0,0
"ENSMUSG00000001995",209,322,256,276,334,363
"ENSMUSG00000001998",152,122,199,86,182,177
"ENSMUSG00000001999",506,326,604,311,700,560
"ENSMUSG00000002006",0,0,0,0,0,0
"ENSMUSG00000002007",10,2,15,19,30,19
"ENSMUSG00000002010",125,116,151,108,132,133
"ENSMUSG00000002012",0,0,0,0,0,2
"ENSMUSG00000002014",127,195,185,241,228,221
"ENSMUSG00000002015",2651,2913,3026,2585,2828,2696
"ENSMUSG00000002017",512,395,769,616,635,507
"ENSMUSG00000002020",166,183,218,173,114,160
"ENSMUSG00000002028",11,20,22,22,18,3
"ENSMUSG00000002031",1055,829,1067,1038,612,916
"ENSMUSG00000002032",0,0,8,0,0,0
"ENSMUSG00000002033",0,0,0,0,0,0
"ENSMUSG00000002043",305,256,449,335,427,597
"ENSMUSG00000002052",881,984,1168,897,1326,1226
"ENSMUSG00000002055",409,369,525,310,514,493
"ENSMUSG00000002057",11,1,52,6,10,4
"ENSMUSG00000002058",0,3,2,1,2,4
"ENSMUSG00000002059",16,3,0,7,12,10
"ENSMUSG00000002064",1964,1830,2323,2326,2529,2513
"ENSMUSG00000002068",156,169,257,199,180,233
"ENSMUSG00000002076",4513,4727,6465,4385,4694,5756
"ENSMUSG00000002083",0,0,0,0,7,0
"ENSMUSG00000002100",0,0,0,0,0,0
"ENSMUSG00000002102",278,293,332,321,387,369
"ENSMUSG00000002103",32,26,29,28,14,22
"ENSMUSG00000002104",88,66,66,98,70,123
"ENSMUSG00000002105",0,1,4,1,29,6
"ENSMUSG00000002107",2397,2330,3357,2216,2531,3087
"ENSMUSG00000002108",1,0,5,7,2,14
"ENSMUSG00000002109",1089,1169,1267,941,1179,1316
"ENSMUSG00000002111",0,0,0,0,0,3
"ENSMUSG00000002129",1450,1601,1912,1438,2139,1846
"ENSMUSG00000002147",933,1122,1365,1029,1127,759
"ENSMUSG00000002190",21,40,50,38,38,16
"ENSMUSG00000002204",0,0,0,0,0,1
"ENSMUSG00000002205",161,210,222,207,335,223
"ENSMUSG00000002210",19,3,13,9,9,30
"ENSMUSG00000002221",260,242,501,204,318,393
"ENSMUSG00000002222",1699,1587,1809,1711,2127,1669
"ENSMUSG00000002227",70,89,157,141,87,75
"ENSMUSG00000002228",0,0,0,0,0,0
"ENSMUSG00000002233",2,6,36,8,2,13
"ENSMUSG00000002240",2,2,4,3,3,6
"ENSMUSG00000002249",5,4,5,10,6,21
"ENSMUSG00000002250",64,74,132,58,87,99
"ENSMUSG00000002257",125,147,184,167,102,137
"ENSMUSG00000002265",145,125,209,91,257,189
"ENSMUSG00000002266",118,116,111,122,169,85
"ENSMUSG00000002274",0,0,0,0,0,0
"ENSMUSG00000002279",36,16,60,53,53,137
"ENSMUSG00000002280",3,10,8,3,0,14
"ENSMUSG00000002289",6,11,12,13,18,59
"ENSMUSG00000002297",9584,9842,13364,10246,12681,13004
"ENSMUSG00000002307",266,266,567,272,325,439
"ENSMUSG00000002308",1313,1395,1488,1280,1209,1583
