"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000000365",9,5,12,6,11,4
"ENSMUSG00000000374",746,482,663,768,771,755
"ENSMUSG00000000378",272,284,305,295,273,235
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",815,722,975,759,809,817
"ENSMUSG00000000385",0,0,0,0,0,0
"ENSMUSG00000000386",18,11,15,32,21,2
"ENSMUSG00000000392",76,66,81,71,93,81
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",6641,7868,8178,8541,8343,6481
"ENSMUSG00000000402",13,3,1,1,2,1
"ENSMUSG00000000409",136,61,2,22,24,8
"ENSMUSG00000000411",0,0,0,0,0,0
"ENSMUSG00000000416",31,8,23,21,15,9
"ENSMUSG00000000420",1712,1176,1527,1631,1679,1450
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",560,566,611,649,692,576
"ENSMUSG00000000440",190,131,171,203,178,178
"ENSMUSG00000000441",2000,1577,2113,1901,1805,1936
"ENSMUSG00000000486",88,32,24,41,32,36
"ENSMUSG00000000489",571,328,551,566,519,482
"ENSMUSG00000000530",407,360,474,375,407,398
"ENSMUSG00000000531",128,82,101,101,104,107
"ENSMUSG00000000532",334,219,232,273,315,270
"ENSMUSG00000000538",2409,1827,2594,2124,2169,2227
"ENSMUSG00000000544",0,0,0,0,0,0
"ENSMUSG00000000552",212,108,147,122,106,110
"ENSMUSG00000000555",900,633,908,751,622,693
"ENSMUSG00000000560",1,0,0,0,0,0
"ENSMUSG00000000561",331,380,401,301,287,252
"ENSMUSG00000000562",2,4,13,4,1,2
"ENSMUSG00000000563",15866,20638,17248,20620,19997,15880
"ENSMUSG00000000567",36,26,24,25,21,9
"ENSMUSG00000000568",1065,801,1061,918,871,930
"ENSMUSG00000000579",44,37,40,34,31,37
"ENSMUSG00000000581",483,664,516,572,552,369
"ENSMUSG00000000594",405,400,415,296,283,211
"ENSMUSG00000000600",808,546,601,663,749,621
"ENSMUSG00000000605",1708,1639,1592,1631,1487,1373
"ENSMUSG00000000606",0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",13,5,7,4,6,6
"ENSMUSG00000000628",3570,2858,3424,4397,4104,4541
"ENSMUSG00000000631",2410,1502,2580,2433,2236,2733
"ENSMUSG00000000632",13,1,5,8,6,8
"ENSMUSG00000000673",3,4,1,17,3,3
"ENSMUSG00000000682",40,33,26,52,34,35
"ENSMUSG00000000686",12,11,19,13,24,20
"ENSMUSG00000000690",2,2,0,0,0,1
"ENSMUSG00000000693",118,74,102,73,57,55
"ENSMUSG00000000701",0,0,0,0,0,0
