"","EU181","EU182","EU183","EU184","EU185","EU186","EU187","EU188","EU189","EU190","EU191","EU192","EU226","EU228","EU229","EU230","EU231","EU236"
"ENSMUSG00000001240",1,0,0,0,4,0,0,3,0,0,0,0,7,3,2,3,0,2
"ENSMUSG00000001247",6,3,0,0,2,1,1,41,20,0,0,12,0,3,0,0,1,0
"ENSMUSG00000001248",34,26,10,20,68,54,24,53,44,0,52,23,30,63,124,39,18,36
"ENSMUSG00000001249",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000001260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001270",2,6,5,9,15,8,10,3,7,1,18,9,68,54,174,61,19,426
"ENSMUSG00000001280",2221,2982,133,1231,6872,4486,4308,5270,2201,14,349,1916,159,3470,312,152,1192,4489
"ENSMUSG00000001281",36,29,83,54,43,104,40,47,22,0,46,26,20,36,43,56,5,6
"ENSMUSG00000001285",68,67,58,44,114,66,64,117,232,0,70,286,44,40,111,49,68,94
"ENSMUSG00000001288",52,81,41,55,125,77,53,89,63,4,125,84,73,89,295,63,23,153
"ENSMUSG00000001289",326,354,291,345,717,487,339,573,466,3,421,364,682,495,566,467,366,287
"ENSMUSG00000001300",33,252,37,583,356,302,62,125,285,4,195,574,172,681,96,39,109,118
"ENSMUSG00000001305",33,15,35,41,130,40,34,69,60,0,27,29,26,24,64,35,6,18
"ENSMUSG00000001313",43,14,39,26,57,38,27,70,17,1,22,19,24,84,110,45,21,62
"ENSMUSG00000001323",7,17,4,12,65,23,18,42,9,0,37,14,19,26,82,25,8,36
"ENSMUSG00000001333",3,13,1,16,50,17,7,14,16,0,17,9,3,12,18,12,3,6
"ENSMUSG00000001334",3,0,0,4,0,3,0,2,3,2,2,0,0,31,34,2,0,6
"ENSMUSG00000001348",0,2,0,0,1,1,0,1,1,0,2,3,0,2,6,2,0,0
"ENSMUSG00000001349",1,21,8,4,8,2,1,5,22,0,48,19,3,23,44,1,1,45
"ENSMUSG00000001366",335,447,545,437,1006,669,280,1014,393,1,233,440,1910,484,270,114,402,86
"ENSMUSG00000001376",34,56,20,71,96,164,101,243,23,1,90,73,26,39,56,42,145,30
"ENSMUSG00000001380",300,651,222,420,903,576,542,496,403,3,168,394,238,338,234,134,218,216
"ENSMUSG00000001383",198,308,121,233,467,417,277,444,124,7,255,237,224,259,310,240,196,231
"ENSMUSG00000001403",29,54,28,51,67,24,28,48,41,0,29,37,6,12,50,27,22,126
"ENSMUSG00000001415",540,1278,669,465,1348,1157,806,1683,786,2,197,802,117,979,279,412,269,139
"ENSMUSG00000001416",492,482,337,681,839,394,734,695,315,1,434,282,207,334,661,325,180,220
"ENSMUSG00000001418",515,297,195,238,661,728,396,588,273,0,299,144,336,422,494,306,83,441
"ENSMUSG00000001419",51,244,22,72,180,93,700,243,141,3,110,61,72,76,160,75,15,97
"ENSMUSG00000001420",0,2,2,3,0,4,2,4,4,0,1,0,0,1,0,0,0,0
"ENSMUSG00000001424",1665,1369,914,1286,3161,2562,1145,2539,1762,11,776,1473,677,749,525,458,629,170
"ENSMUSG00000001435",220,254,114,199,627,252,144,521,402,0,286,146,178,308,939,319,107,497
"ENSMUSG00000001436",16,10,12,22,32,23,6,15,59,0,51,11,15,16,57,28,9,12
"ENSMUSG00000001440",950,1444,516,875,1979,3006,1735,2169,888,4,797,1014,257,462,742,277,591,367
"ENSMUSG00000001441",481,853,330,619,1443,1030,721,1359,344,36,731,551,1735,551,1564,397,233,542
"ENSMUSG00000001444",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000001445",67,78,34,83,153,163,116,129,56,0,106,69,79,57,121,78,61,81
"ENSMUSG00000001467",39,47,70,53,164,82,96,116,42,4,45,36,16,41,92,88,129,184
"ENSMUSG00000001472",635,1645,521,914,4482,3614,1052,3883,2181,5,1001,2212,412,1402,1366,389,241,407
"ENSMUSG00000001473",190,519,215,164,535,257,246,246,413,0,462,290,229,244,615,297,189,393
"ENSMUSG00000001482",15,17,11,13,49,82,25,100,13,0,34,14,5,19,20,11,9,69
"ENSMUSG00000001493",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001496",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"ENSMUSG00000001497",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000001504",12,28,1,16,25,30,11,18,3,3,29,9,6,12,51,16,3,0
"ENSMUSG00000001506",168,1551,210,213,494,293,34,165,355,6,588,635,282,258,1793,119,4458,11776
"ENSMUSG00000001507",20,32,9,16,59,35,13,31,36,0,69,16,16,19,75,11,9,72
"ENSMUSG00000001508",10,23,16,13,21,14,2,89,16,0,26,12,11,11,74,18,36,37
"ENSMUSG00000001510",117,45,91,72,161,52,20,85,47,0,21,22,20,20,90,36,71,79
"ENSMUSG00000001517",23,53,16,213,75,25,14,37,54,0,60,30,14,23,87,11,9,40
"ENSMUSG00000001518",233,88,107,133,111,214,32,141,180,0,65,120,23,324,272,23,11,27
"ENSMUSG00000001520",42,131,27,24,92,152,250,59,154,0,31,87,17,20,11,5,8,0
"ENSMUSG00000001521",468,1863,1302,1244,1903,1209,545,524,297,2,120,254,2650,40,70,83,546,242
"ENSMUSG00000001524",20,15,23,11,31,29,19,42,29,1,31,23,16,22,30,26,10,25
"ENSMUSG00000001525",879,1565,799,1247,2336,2049,809,1360,1438,7,1614,2049,823,1461,1418,721,812,2012
