"","RR9_SPL_FLT_F1","RR9_SPL_FLT_F10","RR9_SPL_FLT_F2","RR9_SPL_FLT_F3","RR9_SPL_FLT_F4","RR9_SPL_FLT_F5","RR9_SPL_FLT_F6","RR9_SPL_FLT_F7","RR9_SPL_FLT_F8","RR9_SPL_FLT_F9","RR9_SPL_GC_G1","RR9_SPL_GC_G10","RR9_SPL_GC_G2","RR9_SPL_GC_G3","RR9_SPL_GC_G4","RR9_SPL_GC_G5","RR9_SPL_GC_G6","RR9_SPL_GC_G7","RR9_SPL_GC_G8","RR9_SPL_GC_G9"
"ENSMUSG00000025551",0,0,0,5,3,0,0,1,1,0,0,0,0,4,7,0,0,10,1,0
"ENSMUSG00000025555",11,14,19,21,26,34,0,20,14,1,0,9,6,19,22,1,0,10,74,3
"ENSMUSG00000025557",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025558",26,125,179,58,135,141,15,21,81,22,12,37,60,205,107,85,20,47,138,67
"ENSMUSG00000025571",163,1059,1349,426,1608,878,146,290,1073,168,90,230,522,1703,1437,828,122,482,1272,821
"ENSMUSG00000025572",70,173,394,127,420,246,43,86,250,38,14,23,135,380,416,220,16,93,304,234
"ENSMUSG00000025573",1,16,3,7,5,2,0,0,6,0,0,0,0,3,16,1,0,16,8,1
"ENSMUSG00000025574",1,86,125,47,168,64,34,37,27,21,31,19,64,220,154,59,18,49,133,63
"ENSMUSG00000025575",21,131,328,66,246,133,38,96,218,22,27,52,105,330,218,77,10,101,205,131
"ENSMUSG00000025576",2,10,37,9,11,2,0,20,37,4,2,0,8,42,18,1,0,9,11,25
"ENSMUSG00000025577",7,3,41,2,14,16,2,0,54,11,0,12,17,45,24,7,0,1,20,1
"ENSMUSG00000025578",8,87,128,2,154,95,8,15,69,12,22,3,18,126,101,73,5,10,124,47
"ENSMUSG00000025579",56,222,464,98,295,229,39,48,233,54,26,36,124,425,279,232,29,132,304,270
"ENSMUSG00000025580",126,494,1069,134,808,434,87,151,507,122,108,100,246,1113,619,477,92,374,596,504
"ENSMUSG00000025582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025583",42,148,213,91,269,173,18,37,170,31,6,77,77,271,244,131,36,56,279,162
"ENSMUSG00000025584",33,181,285,45,275,190,21,70,263,60,36,55,84,319,239,130,28,123,219,121
"ENSMUSG00000025586",0,34,49,7,19,38,4,3,7,2,15,7,2,16,20,5,0,7,3,4
"ENSMUSG00000025588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000025591",30,208,206,63,316,145,17,69,202,88,28,33,62,279,258,133,14,94,208,240
"ENSMUSG00000025592",0,4,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025597",21,15,33,9,74,21,10,13,46,25,11,1,15,59,35,36,2,32,51,38
"ENSMUSG00000025602",1,10,28,3,38,27,7,13,3,0,3,0,5,11,30,26,2,12,9,20
"ENSMUSG00000025607",53,113,363,59,401,230,43,84,194,56,39,65,108,421,325,208,49,101,312,205
"ENSMUSG00000025608",4,35,30,0,41,36,7,16,41,0,2,12,20,49,70,28,0,20,54,28
"ENSMUSG00000025609",122,862,1199,373,1147,750,206,369,786,229,123,290,518,1360,1167,650,157,480,1064,941
"ENSMUSG00000025610",0,19,9,7,12,15,0,1,0,10,0,0,0,28,10,9,0,0,14,11
"ENSMUSG00000025612",91,366,566,134,454,342,20,97,485,101,56,140,141,711,544,352,38,151,333,339
"ENSMUSG00000025613",208,1267,1706,465,2099,980,245,426,1177,368,109,342,536,2005,1693,1146,112,475,1395,1037
"ENSMUSG00000025616",229,1095,1394,436,1594,879,152,298,985,285,163,229,496,1770,1365,780,98,564,1087,931
"ENSMUSG00000025626",61,334,622,200,796,259,48,151,443,109,48,127,276,641,550,391,41,246,507,459
"ENSMUSG00000025630",129,671,998,256,1314,686,117,237,709,192,170,178,344,1476,1223,806,108,345,941,822
"ENSMUSG00000025644",0,0,0,1,0,7,0,0,12,5,0,1,1,1,12,10,0,0,0,3
"ENSMUSG00000025645",3,46,65,0,35,26,0,6,40,9,11,4,32,77,37,26,6,52,74,33
"ENSMUSG00000025646",70,323,351,86,416,271,76,104,287,99,21,97,178,345,323,242,69,164,369,276
"ENSMUSG00000025647",773,5838,9109,2029,9445,5271,687,1409,6432,1341,692,1368,2497,11081,7572,5656,665,3375,8163,5975
"ENSMUSG00000025648",24,85,145,47,187,102,20,22,93,10,25,36,32,123,140,102,19,86,171,51
"ENSMUSG00000025650",11,71,90,5,118,50,23,14,68,10,2,14,27,61,67,50,12,30,41,51
"ENSMUSG00000025651",130,797,1621,310,1764,729,205,259,1134,259,121,173,507,1792,1207,964,115,465,1225,919
"ENSMUSG00000025652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025656",16,24,26,30,48,21,0,6,37,0,7,2,11,50,5,32,2,19,25,23
"ENSMUSG00000025658",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6
"ENSMUSG00000025665",2,5,0,1,3,6,0,0,7,0,2,0,0,0,0,7,0,0,0,1
"ENSMUSG00000025666",15,161,317,70,209,121,26,47,202,58,15,35,75,239,78,128,30,68,222,165
"ENSMUSG00000025701",0,4,16,0,9,9,1,0,6,7,1,0,19,14,10,0,1,0,0,7
"ENSMUSG00000025702",17,100,146,23,158,128,22,74,201,58,41,48,64,162,156,69,21,42,116,193
"ENSMUSG00000025716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025722",21,97,141,16,233,106,22,25,121,39,26,24,22,268,157,55,19,121,100,122
"ENSMUSG00000025723",18,66,148,6,114,102,4,20,75,12,1,19,55,153,68,46,3,77,119,58
"ENSMUSG00000025724",168,797,1448,204,1788,778,116,181,971,234,153,194,414,1765,1250,806,98,488,1182,717
"ENSMUSG00000025726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025728",13,190,294,59,376,182,11,24,255,123,25,43,85,303,269,118,8,105,255,214
"ENSMUSG00000025730",23,65,149,24,110,82,0,33,43,14,9,12,45,152,100,48,2,54,91,88
"ENSMUSG00000025731",101,346,871,137,703,326,52,161,499,147,77,92,244,933,608,325,61,280,532,391
"ENSMUSG00000025732",7,46,136,20,111,50,6,51,57,20,12,28,35,62,83,50,11,39,63,60
"ENSMUSG00000025733",24,90,199,38,172,117,26,44,127,39,8,16,46,127,88,77,15,20,202,118
"ENSMUSG00000025735",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000025736",1,75,122,28,102,34,5,9,55,1,3,14,21,101,55,37,1,13,74,88
"ENSMUSG00000025737",3,52,74,20,90,79,4,32,39,21,6,17,50,124,94,37,12,22,65,19
"ENSMUSG00000025738",2,13,0,0,2,0,0,7,12,0,0,0,0,3,14,2,11,7,8,1
"ENSMUSG00000025739",0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
"ENSMUSG00000025742",43,266,450,86,393,237,61,56,267,47,30,32,170,500,343,207,34,95,342,196
"ENSMUSG00000025743",154,458,881,267,917,570,135,147,621,173,70,127,214,1001,862,608,63,360,643,513
"ENSMUSG00000025745",166,971,1362,255,1099,607,102,217,854,275,99,260,535,1749,1153,682,124,318,994,636
"ENSMUSG00000025746",0,2,0,0,8,0,0,3,6,0,0,0,0,8,0,0,0,0,0,0
"ENSMUSG00000025747",37,117,275,43,332,76,38,61,208,61,50,34,116,450,292,127,29,74,214,148
"ENSMUSG00000025754",1,9,0,0,0,38,0,0,0,0,0,0,0,0,4,7,0,2,4,0
"ENSMUSG00000025757",90,445,531,191,535,433,104,251,410,156,58,126,258,521,553,370,53,198,391,358
"ENSMUSG00000025758",30,118,205,86,176,120,19,62,136,56,36,66,73,347,205,158,10,52,179,112
"ENSMUSG00000025759",13,98,176,44,191,79,19,35,115,30,0,40,58,182,191,109,45,51,179,182
"ENSMUSG00000025762",24,222,371,100,377,233,49,134,266,82,26,59,132,450,297,210,34,154,185,210
"ENSMUSG00000025764",136,639,797,193,850,565,54,202,556,128,103,142,245,979,598,394,51,197,625,442
"ENSMUSG00000025766",52,245,296,74,290,124,29,57,225,53,10,29,101,259,241,128,38,86,230,170
"ENSMUSG00000025774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025776",21,121,241,54,229,105,26,47,137,125,42,43,117,213,225,129,29,128,149,158
"ENSMUSG00000025777",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025779",20,181,230,39,312,161,19,57,165,72,26,18,76,301,240,136,23,97,172,115
"ENSMUSG00000025780",62,280,425,82,300,191,33,46,265,58,21,36,121,372,310,140,30,184,300,188
"ENSMUSG00000025781",300,1946,3823,546,3879,1683,243,648,2486,515,331,305,1388,4705,2737,2012,231,1479,2455,2096
"ENSMUSG00000025782",100,420,433,132,664,398,48,163,401,84,35,87,152,561,606,279,69,125,438,377
"ENSMUSG00000025783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025784",19,21,61,2,25,4,0,6,26,5,2,5,1,47,3,11,0,38,26,1
"ENSMUSG00000025785",57,336,377,171,651,332,50,145,393,155,25,93,134,652,535,320,48,157,408,267
"ENSMUSG00000025786",49,331,468,81,468,328,51,102,267,104,33,96,195,598,376,229,30,179,395,227
"ENSMUSG00000025787",0,9,1,0,21,0,1,0,0,0,0,0,5,5,7,0,0,0,0,2
"ENSMUSG00000025789",0,0,7,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,12,0
"ENSMUSG00000025790",74,311,418,72,513,199,56,58,312,62,16,69,118,490,356,315,22,155,428,153
"ENSMUSG00000025791",0,72,161,16,156,56,14,38,92,60,3,20,45,216,158,79,13,52,121,85
"ENSMUSG00000025792",5,67,72,29,101,48,23,19,33,9,3,24,45,116,101,72,9,53,55,68
"ENSMUSG00000025793",85,285,498,51,506,285,54,103,376,95,76,74,179,533,316,253,27,114,362,299
"ENSMUSG00000025794",1639,6987,14706,3214,14869,7061,1271,2908,9436,2647,1346,1918,4878,17788,11948,7934,806,4893,9311,7686
"ENSMUSG00000025795",170,701,966,267,1110,574,92,158,777,206,121,228,389,1121,1136,693,99,361,832,635
"ENSMUSG00000025804",23,114,268,40,132,45,29,16,112,64,31,43,44,193,136,125,3,91,86,55
"ENSMUSG00000025808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025809",441,2252,3658,814,3904,2205,353,754,2758,539,294,575,1145,4685,2753,1926,276,1205,2449,1937
"ENSMUSG00000025810",87,586,671,261,956,499,83,184,776,167,46,144,285,716,629,408,60,197,558,356
