"","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F3","Mmus_C57-6T_LVR_GC_Rep1_G1","Mmus_C57-6T_LVR_GC_Rep2_G2","Mmus_C57-6T_LVR_GC_Rep3_G3","Mmus_C57-6T_SPL_FLT_Rep1_F1","Mmus_C57-6T_SPL_FLT_Rep2_F2","Mmus_C57-6T_SPL_FLT_Rep3_F3","Mmus_C57-6T_SPL_GC_Rep1_G1","Mmus_C57-6T_SPL_GC_Rep2_G2","Mmus_C57-6T_SPL_GC_Rep3_G3"
"ENSMUSG00000001569",430,485,145,438,412,330,917,1027,1223,944,998,868
"ENSMUSG00000001576",1275,1241,377,938,994,822,1049,1167,1693,1066,1206,1151
"ENSMUSG00000001583",1,2,0,0,2,0,22,9,6,2,4,8
"ENSMUSG00000001588",105,88,101,80,79,74,3107,5838,6846,5931,4812,4436
"ENSMUSG00000001604",1434,1677,2762,1501,1343,910,28,31,46,89,29,23
"ENSMUSG00000001622",0,0,0,0,1,0,0,0,0,4,0,5
"ENSMUSG00000001627",364,368,186,303,204,268,408,559,542,774,461,396
"ENSMUSG00000001630",433,362,124,399,307,222,276,299,344,268,304,298
"ENSMUSG00000001632",474,363,123,331,269,287,1176,1438,1798,900,1220,1294
"ENSMUSG00000001642",189,128,211,162,143,172,1311,1425,1906,2583,1509,1426
"ENSMUSG00000001655",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001657",0,0,0,0,0,3,0,0,0,1,1,0
"ENSMUSG00000001661",0,0,0,1,0,0,1,2,5,7,1,3
"ENSMUSG00000001663",5266,5910,9285,5563,5647,4673,297,314,386,437,284,240
"ENSMUSG00000001665",685,1308,923,773,921,527,56,60,102,114,69,77
"ENSMUSG00000001666",287,359,500,370,377,389,33,42,65,58,48,57
"ENSMUSG00000001670",53377,86973,39768,43345,48675,47402,0,31,35,0,23,0
"ENSMUSG00000001672",6,9,7,6,2,6,0,4,5,5,1,0
"ENSMUSG00000001674",337,277,310,274,279,275,962,1160,1431,1397,1169,968
"ENSMUSG00000001687",1194,1265,660,987,945,938,1625,2230,2555,2939,2251,1951
"ENSMUSG00000001700",749,900,295,770,650,578,1151,1845,2509,1980,1839,1856
"ENSMUSG00000001707",160,169,85,151,147,143,492,439,490,490,406,365
"ENSMUSG00000001729",1251,1201,1140,1163,1120,1064,2765,2971,3828,4166,2736,2727
"ENSMUSG00000001739",1,5,5,1,10,4,22,17,23,32,24,16
"ENSMUSG00000001741",66,49,59,54,48,57,1442,2152,2743,3508,2225,1943
"ENSMUSG00000001750",1233,822,904,931,860,891,1951,2401,3281,2996,2146,2282
"ENSMUSG00000001751",542,468,523,605,606,421,375,528,666,678,526,482
"ENSMUSG00000001755",2662,2543,1995,2381,2162,1859,373,499,628,622,455,410
"ENSMUSG00000001761",144,92,40,99,96,88,202,256,312,201,208,199
"ENSMUSG00000001763",84,48,75,72,64,63,2908,2088,696,586,400,1012
"ENSMUSG00000001767",250,244,165,185,189,178,809,850,973,1099,806,786
"ENSMUSG00000001768",378,212,91,289,240,221,377,405,414,403,325,381
"ENSMUSG00000001773",0,0,0,0,0,1,28,51,65,31,50,21
"ENSMUSG00000001774",709,800,301,497,715,737,1334,2169,2181,1617,2562,1772
