"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000001418",649,799,1018,1510,2895,2456,2247,925,1805
"ENSMUSG00000001419",2939,4353,3948,9082,6722,5174,5539,2553,6847
"ENSMUSG00000001420",39,45,44,77,97,96,95,43,81
"ENSMUSG00000001424",1777,2330,2784,4787,6878,5485,5195,2590,4564
"ENSMUSG00000001435",100,127,265,296,3034,1519,1568,133,245
"ENSMUSG00000001436",245,360,378,709,1105,855,897,312,644
"ENSMUSG00000001440",4425,5907,6803,11369,14051,12217,10933,5837,11406
"ENSMUSG00000001441",2721,3782,4541,7609,8873,8914,7727,3419,8158
"ENSMUSG00000001444",4,2,0,6,3,4,6,3,4
"ENSMUSG00000001445",944,946,1352,2055,2384,2196,2389,1228,2562
"ENSMUSG00000001467",1645,2831,3025,3568,4751,4401,4617,1667,6334
"ENSMUSG00000001472",10212,14864,15865,23266,24888,21073,23305,10385,29334
"ENSMUSG00000001473",45,41,44,62,110,107,80,23,113
"ENSMUSG00000001482",1012,1463,2074,2807,3580,2893,2844,1438,2833
"ENSMUSG00000001493",27,55,28,44,67,119,57,34,48
"ENSMUSG00000001494",1,5,5,5,110,76,35,23,7
"ENSMUSG00000001496",8,0,5,58,0,0,1,54,0
"ENSMUSG00000001497",0,0,0,0,0,0,1,0,0
"ENSMUSG00000001504",1,0,316,16,256,426,313,11,379
"ENSMUSG00000001506",439,1097,1108,1969,5277,1494,3016,281,1900
"ENSMUSG00000001507",230,312,888,855,3313,2218,1823,326,853
"ENSMUSG00000001508",8,2,11,15,26,38,32,9,14
"ENSMUSG00000001510",0,0,7,6,19,18,21,1,10
"ENSMUSG00000001517",26,28,36,47,57,69,41,19,51
"ENSMUSG00000001518",269,407,588,796,2077,1736,1426,467,936
"ENSMUSG00000001520",70,76,302,480,462,198,496,324,649
"ENSMUSG00000001521",302,508,621,1039,1224,1202,1025,367,906
"ENSMUSG00000001524",158,170,209,398,729,615,551,174,508
"ENSMUSG00000001525",8727,10835,13816,22775,14817,14838,16759,9813,26653
"ENSMUSG00000001542",908,1093,975,1675,882,1246,1319,652,2285
"ENSMUSG00000001552",688,798,1175,1664,6734,5931,5385,806,1443
"ENSMUSG00000001555",155,178,235,367,458,361,427,200,471
"ENSMUSG00000001558",8,11,11,8,27,20,13,12,20
"ENSMUSG00000001566",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001569",497,611,712,1297,1942,1702,1419,674,1400
"ENSMUSG00000001576",2256,3624,3547,6033,8343,6793,6313,2621,5426
"ENSMUSG00000001583",4,5,7,10,5,1,10,6,16
"ENSMUSG00000001588",0,1,1,0,5,1,7,2,3
"ENSMUSG00000001604",12,36,8,7,73,22,39,7,21
"ENSMUSG00000001622",0,0,0,0,0,3,2,2,0
"ENSMUSG00000001627",833,1162,871,1481,2112,2036,2048,650,2121
"ENSMUSG00000001630",842,1406,1408,2224,2056,1806,1757,972,2473
"ENSMUSG00000001632",362,536,686,1134,3983,2691,2129,467,1131
"ENSMUSG00000001642",485,632,576,1091,1319,1237,1310,742,1476
"ENSMUSG00000001655",0,0,0,0,0,1,0,0,0
"ENSMUSG00000001656",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001657",0,0,0,0,2,0,2,0,0
"ENSMUSG00000001661",0,0,0,3,1,1,0,0,0
"ENSMUSG00000001663",312,455,676,680,1775,1456,1498,597,1164
"ENSMUSG00000001665",69,156,208,133,123,263,177,114,286
"ENSMUSG00000001666",145,202,194,268,602,591,538,210,444
"ENSMUSG00000001670",1,0,0,0,2,0,1,1,1
"ENSMUSG00000001672",13,3,7,20,5,8,20,18,11
"ENSMUSG00000001674",309,427,479,770,1466,1277,1099,432,991
"ENSMUSG00000001687",5884,6869,6441,11354,16820,17556,15882,6781,13238
"ENSMUSG00000001700",641,1277,908,1203,985,1143,1123,603,1362
"ENSMUSG00000001707",726,960,995,1729,2102,2143,1936,1175,2396
"ENSMUSG00000001729",3286,4441,4426,6898,5476,5235,6397,3710,7745
"ENSMUSG00000001739",7,9,5,10,10,8,8,4,15
"ENSMUSG00000001741",117,97,273,149,17474,13772,7987,107,162
"ENSMUSG00000001750",108,170,192,332,229,282,328,192,272
"ENSMUSG00000001751",148,194,205,373,614,507,382,192,345
"ENSMUSG00000001755",389,488,590,951,991,971,961,508,1045
"ENSMUSG00000001761",571,874,1333,1533,1730,1722,1890,1003,1999
