"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000000889",12,12,8,10,17,9,19,6
"ENSMUSG00000000901",48,32,70,71,58,62,117,65
"ENSMUSG00000000902",1323,1200,1682,1732,1818,1524,4748,1383
"ENSMUSG00000000903",2,5,2,4,3,1,12,7
"ENSMUSG00000000915",1801,1573,2751,2646,2219,2253,5933,1854
"ENSMUSG00000000916",149,106,160,178,184,148,314,121
"ENSMUSG00000000934",377,313,459,492,464,456,564,358
"ENSMUSG00000000938",0,0,0,0,0,0,0,0
"ENSMUSG00000000942",0,0,0,0,0,0,0,0
"ENSMUSG00000000948",1293,615,1743,1904,1709,1308,34,1277
"ENSMUSG00000000957",435,332,704,822,643,658,455,482
"ENSMUSG00000000958",60,31,56,73,63,60,105,47
"ENSMUSG00000000959",943,855,1302,1341,1274,1116,2687,1018
"ENSMUSG00000000976",517,447,742,690,763,601,458,497
"ENSMUSG00000000982",1,0,2,5,3,0,8,4
"ENSMUSG00000000983",5,11,22,11,17,9,64,9
"ENSMUSG00000001014",0,0,0,0,0,0,0,0
"ENSMUSG00000001016",1938,1332,2413,2589,2461,1958,2263,1768
"ENSMUSG00000001017",3533,2425,4225,4685,4702,3452,3068,3303
"ENSMUSG00000001018",1130,874,1491,1648,1487,1212,1441,1132
"ENSMUSG00000001020",0,2,3,11,3,3,17,6
"ENSMUSG00000001021",2,5,2,3,3,0,11,2
"ENSMUSG00000001023",0,0,0,0,0,0,0,0
"ENSMUSG00000001025",142,171,221,271,250,224,661,177
"ENSMUSG00000001027",1,1,4,1,5,2,2,0
"ENSMUSG00000001029",42,31,77,62,83,83,220,49
"ENSMUSG00000001034",374,420,458,474,494,458,1032,353
"ENSMUSG00000001036",4570,3852,5373,5359,6377,4740,2731,4108
"ENSMUSG00000001039",181,166,256,259,196,204,587,194
"ENSMUSG00000001052",1832,1421,2287,2292,2250,1954,1184,1802
"ENSMUSG00000001053",310,270,481,466,388,470,1387,390
"ENSMUSG00000001054",982,918,1115,1174,1319,1050,3760,1010
"ENSMUSG00000001056",580,526,660,677,702,570,1935,546
"ENSMUSG00000001062",1094,960,1259,1312,1290,1096,3219,992
"ENSMUSG00000001065",255,188,342,269,296,287,448,235
"ENSMUSG00000001076",0,1,51,27,0,0,64,0
"ENSMUSG00000001082",274,243,323,325,284,274,736,214
"ENSMUSG00000001089",4492,3475,6303,6028,6112,5226,1089,4282
"ENSMUSG00000001095",0,0,0,0,0,1,0,0
"ENSMUSG00000001098",712,581,886,944,1072,855,1597,639
"ENSMUSG00000001100",2158,2054,2848,2962,2869,2376,6610,2098
"ENSMUSG00000001103",101,98,105,104,188,92,195,100
"ENSMUSG00000001105",881,732,1155,1282,1223,1021,665,891
"ENSMUSG00000001119",378,302,437,557,676,658,424,372
"ENSMUSG00000001120",1203,1049,1575,1702,1629,1492,4697,1084
"ENSMUSG00000001123",171,125,208,244,246,186,585,181
"ENSMUSG00000001127",3492,2477,4557,5119,4609,3762,1865,3278
"ENSMUSG00000001128",68,40,99,69,75,75,53,43
"ENSMUSG00000001131",5,3,4,11,14,5,16,9
"ENSMUSG00000001134",37,31,52,51,55,39,83,34
"ENSMUSG00000001138",919,818,1235,1294,1140,1023,2451,903
"ENSMUSG00000001143",1454,1267,1592,1782,2202,1607,2969,1254
"ENSMUSG00000001150",1746,1364,2071,2087,2322,1863,1516,1594
"ENSMUSG00000001151",1650,1181,2014,2065,1787,1791,649,1723
"ENSMUSG00000001155",0,0,0,1,0,3,1,2
"ENSMUSG00000001156",553,431,811,793,719,655,507,646
"ENSMUSG00000001157",710,512,955,980,1003,769,226,774
"ENSMUSG00000001158",681,471,844,938,963,819,623,661
"ENSMUSG00000001166",13,13,29,17,22,19,42,9
"ENSMUSG00000001168",0,0,0,0,0,0,0,0
"ENSMUSG00000001173",2474,1924,3129,3319,3143,2477,1048,2321
"ENSMUSG00000001175",91359,70534,101268,115862,122876,90938,36211,84220
"ENSMUSG00000001211",7451,6218,9803,10110,9321,8316,12025,7080
"ENSMUSG00000001225",6,8,11,8,17,7,1,12
"ENSMUSG00000001227",3798,3848,4552,4591,4615,4111,18951,3628
"ENSMUSG00000001228",19,19,34,31,26,22,40,20
"ENSMUSG00000001229",2017,1907,2258,2423,2754,2184,3900,1858
"ENSMUSG00000001240",434,401,539,535,640,505,1352,434
"ENSMUSG00000001247",92,59,129,150,163,127,348,88
"ENSMUSG00000001248",1793,1530,1978,2124,2108,1805,4934,1599
"ENSMUSG00000001249",10,16,17,12,12,14,20,12
"ENSMUSG00000001260",1056,587,1605,1830,1091,1068,100,1056
"ENSMUSG00000001270",19246,17254,27212,27552,23146,22333,103212,19635
"ENSMUSG00000001280",1103,713,1435,1690,1586,1300,277,1057
