"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",4871,3859,3942,4304,4103,4043
"ENSMUSG00000000402",0,2,1,3,0,2
"ENSMUSG00000000409",48,38,70,60,38,24
"ENSMUSG00000000411",0,0,0,0,0,0
"ENSMUSG00000000416",10,8,5,11,23,14
"ENSMUSG00000000420",1829,1830,1564,2156,2067,2073
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",309,380,364,438,376,405
"ENSMUSG00000000440",120,82,69,37,171,128
"ENSMUSG00000000441",1556,1763,2255,2541,2449,2577
"ENSMUSG00000000486",27,11,22,28,16,10
"ENSMUSG00000000489",14,7,13,23,24,16
"ENSMUSG00000000530",82,70,80,87,131,106
"ENSMUSG00000000531",44,30,29,46,71,106
"ENSMUSG00000000532",185,225,201,256,269,259
"ENSMUSG00000000538",542,660,673,670,517,633
"ENSMUSG00000000544",0,0,0,0,0,0
"ENSMUSG00000000552",24,39,35,69,43,59
"ENSMUSG00000000555",151,292,278,392,368,405
"ENSMUSG00000000560",0,0,0,0,0,0
"ENSMUSG00000000561",475.45,583.58,570.46,553.42,760.19,739.7
"ENSMUSG00000000562",0,2,1,3.82,3,0
"ENSMUSG00000000563",19581.96,13248.21,14691.49,12220.08,11752.78,13103.62
"ENSMUSG00000000567",29,30,26,61,23,21
"ENSMUSG00000000568",307,341,203,293,243,233
"ENSMUSG00000000579",50.54,54.87,65.73,37.08,56.91,66.18
"ENSMUSG00000000581",2385,1606,3054,1483,1747,1826
"ENSMUSG00000000594",2269,2175,2638,3798,3153,2906
"ENSMUSG00000000600",406,457,557,686,564,585
"ENSMUSG00000000605",2608,2298,1979,2534,2532,2377
"ENSMUSG00000000606",0,0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",0,0,1,2,2,0
"ENSMUSG00000000628",44,51,38,97,154,95
"ENSMUSG00000000631",1151,1999,2511,3285,3450,3515
"ENSMUSG00000000632",0,0,0,0,0,0
"ENSMUSG00000000673",10593,7354,13034,10348,10556,10363
"ENSMUSG00000000682",116,100,280,171,182,163
"ENSMUSG00000000686",2550,2496,1156,1830,1307,1877
"ENSMUSG00000000690",1,1,2,1,1,2
"ENSMUSG00000000693",71,77,93,98,74,88
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",0,0,0,0,0,0
"ENSMUSG00000000708",2755,2662.99,2772.99,3054,3349,3355.97
"ENSMUSG00000000711",1844.68,1897.86,3075.25,2927.37,3028.36,2879.47
"ENSMUSG00000000724",0,0,0,0,0,0
"ENSMUSG00000000730",0,0,0,0,0,0
"ENSMUSG00000000731",0,0,0,0,0,0
"ENSMUSG00000000732",31,17,24,20,23,30
"ENSMUSG00000000738",795,917,919,1109,1107,1150
"ENSMUSG00000000739",168,57,177,227,235,205
"ENSMUSG00000000740",14038.91,9730.05,14540.73,10942.46,11865.39,12375.85
"ENSMUSG00000000743",1984,1457,1600.97,1521,1819.99,1783
"ENSMUSG00000000751",792,610,867,947,1130,1098
"ENSMUSG00000000753",12022,10574,12018,14789,13878,14180
"ENSMUSG00000000759",422,369,392,409,353,337
"ENSMUSG00000000766",0,0,0,0,0,0
"ENSMUSG00000000776",123,117,124,130,180,158
"ENSMUSG00000000782",17,15,51,38,33,36
"ENSMUSG00000000787",7542,7739,5262,8186,8459,8205
"ENSMUSG00000000791",11,12,13,30,20,6
"ENSMUSG00000000792",0,0,1,0,0,0
"ENSMUSG00000000794",0,1,0,1,3,2
"ENSMUSG00000000804",951,1145,1001,1177,1035,1118
"ENSMUSG00000000805",0,2,0,0,6,0
"ENSMUSG00000000811",133,127,152,127,167,191
"ENSMUSG00000000817",8,11,12,15,12,4
"ENSMUSG00000000823",223,365,356,284,389,449
"ENSMUSG00000000826",1391,1694,1371,2088,2038,2121
"ENSMUSG00000000827",1141,911,1277,1063,1111,1025
"ENSMUSG00000000838",500.37,463.13,430.11,557,528.26,526.15
"ENSMUSG00000000861",11,10,8,9,8,11
