"","RR9_TMS_FLT_F1","RR9_TMS_FLT_F10","RR9_TMS_FLT_F2","RR9_TMS_FLT_F3","RR9_TMS_FLT_F4","RR9_TMS_FLT_F5","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F8","RR9_TMS_FLT_F9","RR9_TMS_GC_G1","RR9_TMS_GC_G10","RR9_TMS_GC_G2","RR9_TMS_GC_G3","RR9_TMS_GC_G4","RR9_TMS_GC_G5","RR9_TMS_GC_G6","RR9_TMS_GC_G7","RR9_TMS_GC_G8","RR9_TMS_GC_G9"
"ENSMUSG00000000876",78,125,95,188,145,112,89,226,98,272,385,203,2318,695,178,1773,166,365,720,59
"ENSMUSG00000000881",9,20,13,23,4,11,13,119,35,77,155,61,256,84,37,245,16,21,68,19
"ENSMUSG00000000884",13,0,5,27,1,1,39,19,11,17,107,20,117,94,39,163,17,40,26,14
"ENSMUSG00000000889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000901",12,11,4,22,7,6,1,8,2,2,12,22,154,4,7,30,27,41,55,2
"ENSMUSG00000000902",83,59,132,162,46,58,103,109,96,280,366,128,1861,543,138,2109,152,155,774,122
"ENSMUSG00000000903",3,0,0,20,0,13,0,21,0,0,22,9,18,0,1,18,4,0,0,1
"ENSMUSG00000000915",50,23,16,35,30,31,14,88,33,42,26,24,261,45,7,224,45,20,84,28
"ENSMUSG00000000916",35,14,6,52,33,22,69,47,91,120,60,37,420,82,42,465,58,69,94,9
"ENSMUSG00000000934",0,0,1,23,0,4,13,6,0,7,15,2,132,16,5,39,1,14,8,1
"ENSMUSG00000000938",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
"ENSMUSG00000000942",39,2,3,77,0,7,0,28,3,20,3,1,149,2,38,68,9,34,9,20
"ENSMUSG00000000948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000957",74,101,163,148,48,60,87,278,54,215,109,55,626,309,80,851,70,80,139,95
"ENSMUSG00000000958",20,19,11,54,14,14,12,58,9,65,8,25,188,59,32,137,10,43,67,25
"ENSMUSG00000000959",34,83,58,135,35,68,35,178,77,65,186,174,823,185,82,801,112,87,274,18
"ENSMUSG00000000976",84,116,57,211,90,87,161,233,52,257,335,254,2246,665,112,2182,197,336,545,179
"ENSMUSG00000000982",0,0,0,1,1,0,0,28,0,3,12,0,4,27,0,49,0,0,0,0
"ENSMUSG00000000983",410,546,347,850,388,275,306,977,434,1110,732,521,1983,1699,181,7192,300,775,709,146
"ENSMUSG00000001014",0,0,0,18,0,0,0,7,0,29,1,0,30,29,20,0,7,2,0,0
"ENSMUSG00000001016",114,132,118,221,229,164,245,387,144,496,751,347,3264,1072,296,2638,323,535,1069,148
"ENSMUSG00000001017",154,101,111,320,121,132,242,333,110,525,716,379,3323,894,164,2784,325,382,1068,123
"ENSMUSG00000001018",54,115,112,183,71,60,116,145,83,120,220,81,1472,612,47,901,143,217,423,105
"ENSMUSG00000001020",18,9,20,10,9,18,14,49,12,20,28,31,80,20,14,31,9,3,13,11
"ENSMUSG00000001021",0,0,0,0,2,1,0,9,0,2,7,2,20,0,0,64,0,0,14,0
"ENSMUSG00000001023",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0
"ENSMUSG00000001025",180,127,208,315,147,60,109,672,346,761,467,266,3118,402,265,1582,162,238,328,148
"ENSMUSG00000001027",0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,3,0,0,0,0
"ENSMUSG00000001029",201,337,201,258,276,115,156,445,341,744,613,566,3297,1838,307,3797,320,714,772,286
"ENSMUSG00000001034",56,5,44,46,17,0,4,45,13,125,196,42,411,161,34,421,45,73,110,0
"ENSMUSG00000001036",63,39,33,65,33,76,23,208,1,86,55,108,582,48,49,198,52,73,28,9
"ENSMUSG00000001039",20,8,10,25,33,3,0,59,0,22,60,35,259,100,24,187,21,18,53,0
"ENSMUSG00000001052",225,159,222,123,206,93,146,274,152,400,385,243,1265,435,83,972,338,146,552,102
"ENSMUSG00000001053",11,21,4,54,10,1,37,25,29,21,70,70,224,178,28,455,55,45,95,17
"ENSMUSG00000001054",38,41,34,113,18,4,26,40,47,109,182,103,879,305,89,1087,60,120,193,36
"ENSMUSG00000001056",172,194,215,361,160,94,253,493,204,747,902,573,4176,1143,390,3593,223,496,775,199
"ENSMUSG00000001062",56,8,66,42,25,52,50,65,44,117,30,107,191,162,10,347,41,7,230,6
"ENSMUSG00000001065",52,17,50,13,29,15,52,56,23,61,164,36,263,90,19,270,52,38,96,9
"ENSMUSG00000001076",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001082",28,3,34,67,47,14,85,91,20,120,110,87,523,180,20,445,56,91,134,12
"ENSMUSG00000001089",58,39,62,128,70,35,97,179,52,118,148,58,1132,222,122,573,56,75,162,28
"ENSMUSG00000001095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001098",135,88,65,78,50,17,57,318,87,298,303,164,1024,356,45,962,136,204,383,103
"ENSMUSG00000001100",82,145,37,339,143,82,73,341,89,180,283,153,1991,249,152,725,115,266,383,74
"ENSMUSG00000001103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105",283,370,306,486,232,227,227,719,422,925,775,400,5346,1592,549,3898,430,939,1033,463
"ENSMUSG00000001119",26,14,13,34,35,10,5,115,22,125,77,51,418,139,10,548,22,47,22,26
"ENSMUSG00000001120",10,0,9,17,0,0,10,23,1,22,25,29,160,58,1,172,14,42,54,1
"ENSMUSG00000001123",247,277,273,426,198,169,267,594,152,708,1465,568,5366,2524,429,7767,522,761,2029,167
"ENSMUSG00000001127",76,111,88,151,157,81,92,355,89,241,299,273,1160,378,131,939,228,219,471,60
"ENSMUSG00000001128",209,250,184,244,203,90,219,596,217,897,290,124,2601,568,262,1396,189,149,266,136
"ENSMUSG00000001131",10,10,9,1,16,1,10,9,30,50,43,4,22,33,1,66,27,10,16,0
"ENSMUSG00000001134",52,81,66,50,43,91,17,161,82,174,177,136,1195,381,45,803,90,167,231,57
"ENSMUSG00000001138",58,31,90,91,55,29,78,78,51,129,111,51,631,245,49,395,134,64,182,73
"ENSMUSG00000001143",268,278,224,446,300,193,181,645,301,398,502,512,2318,1006,389,2507,361,366,737,273
"ENSMUSG00000001150",107,118,73,188,66,80,142,216,61,201,276,104,762,484,67,666,207,136,514,48
"ENSMUSG00000001151",157,114,123,173,153,113,46,329,125,267,589,251,1784,836,189,1677,318,348,1039,178
"ENSMUSG00000001155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001156",86,32,30,84,55,36,57,167,163,170,151,152,738,471,90,929,118,262,335,39
"ENSMUSG00000001157",154,138,108,210,149,94,90,303,112,372,451,190,1467,838,206,1494,259,329,709,133
"ENSMUSG00000001158",464,493,519,944,491,413,715,1332,593,1408,1209,982,6227,2548,1173,5915,712,1534,1919,600
"ENSMUSG00000001166",0,9,7,30,10,0,8,36,25,10,15,13,71,53,3,49,1,6,6,3
"ENSMUSG00000001168",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",11,19,19,56,23,12,37,39,28,55,42,92,70,75,11,86,39,32,177,0
"ENSMUSG00000001175",3330,4307,3003,8905,3452,3043,5620,9158,3875,12073,14418,7521,96802,26333,7226,79958,5892,11542,18186,3321
"ENSMUSG00000001211",277,367,230,1063,340,381,165,749,215,555,437,413,4865,868,384,2157,352,628,660,378
"ENSMUSG00000001225",0,0,8,0,2,0,1,17,0,0,0,0,65,0,17,0,0,0,0,0
"ENSMUSG00000001227",0,11,26,13,2,0,4,37,4,0,17,13,110,7,2,33,7,17,6,10
"ENSMUSG00000001228",26,38,53,49,13,37,45,102,54,90,568,163,3316,1004,182,2748,193,337,1321,46
"ENSMUSG00000001229",45,52,67,177,20,17,38,191,7,143,249,100,910,337,65,656,122,166,437,54
"ENSMUSG00000001240",31,62,4,77,90,32,3,26,21,7,17,7,335,59,28,42,5,13,6,13
"ENSMUSG00000001247",13,30,7,14,5,5,16,19,26,81,48,48,370,42,21,122,8,16,26,22
"ENSMUSG00000001248",280,219,318,298,240,229,300,518,206,412,334,216,1274,568,215,1029,381,288,417,114
"ENSMUSG00000001249",0,0,1,0,0,0,0,0,1,17,0,15,36,0,0,10,8,0,47,0
"ENSMUSG00000001260",0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001270",47,59,33,143,36,71,56,92,23,166,154,39,476,129,96,219,78,88,78,61
